0 -nan -nan -nan -nan 
0.33 0.0737156 0.0505893 0.843961 0.833254 
0.331 0.0779787 0.0490462 0.821495 0.810394 
0.332 0.0824069 0.047405 0.797313 0.78588 
0.333 0.0869702 0.0456771 0.771575 0.759871 
0.334 0.0916388 0.0438738 0.744447 0.732533 
0.335 0.0963835 0.0420065 0.716094 0.704032 
0.336 0.101175 0.0400865 0.686688 0.674537 
0.337 0.105987 0.0381251 0.656397 0.644216 
0.338 0.11079 0.0361334 0.625392 0.613237 
0.339 0.115558 0.0341221 0.593841 0.581767 
0.34 0.120267 0.0321018 0.56191 0.549971 
0.341 0.124893 0.0300828 0.529764 0.51801 
0.342 0.129411 0.0280748 0.497562 0.486042 
0.343 0.133802 0.0260873 0.465461 0.45422 
0.344 0.138044 0.0241292 0.433611 0.422693 
0.345 0.142118 0.0222091 0.402159 0.391603 
0.346 0.146007 0.020335 0.371243 0.361086 
0.347 0.149696 0.0185143 0.340998 0.331274 
0.348 0.153169 0.016754 0.311548 0.30229 
0.349 0.156413 0.0150605 0.283015 0.274248 
0.35 0.159418 0.0134396 0.255508 0.247259 
0.351 0.162172 0.0118966 0.229133 0.221422 
0.352 0.164668 0.0104362 0.203985 0.196831 
0.353 0.166898 0.00906254 0.180152 0.173571 
0.354 0.168857 0.00777922 0.157714 0.151717 
0.355 0.17054 0.00658927 0.136743 0.13134 
0.356 0.171944 0.00549519 0.117301 0.112498 
0.357 0.173068 0.00449895 0.0994446 0.0952452 
0.358 0.173911 0.003602 0.0832203 0.0796252 
0.359 0.174474 0.0028053 0.0686671 0.0656743 
0.36 0.17476 0.00210932 0.0558162 0.0534212 
0.361 0.17477 0.00151407 0.0446908 0.0428868 
0.362 0.17451 0.00101913 0.035307 0.0340847 
0.363 0.173984 0.000623646 0.0276732 0.0270213 
0.364 0.173199 0.000326378 0.0217909 0.0216959 
0.365 0.172161 0.000125708 0.0176545 0.0181012 
0.366 0.170879 1.96686e-05 0.0152523 0.0162235 
0.367 0.169359 5.96695e-06 0.014566 0.016043 
0.368 0.167613 8.20084e-05 0.0155713 0.0175339 
0.369 0.165649 0.000244921 0.0182384 0.0206651 
0.37 0.163478 0.000491582 0.0225322 0.0254002 
0.371 0.16111 0.000818639 0.0284126 0.0316979 
0.372 0.158557 0.00122253 0.0358346 0.0395125 
0.373 0.15583 0.00169953 0.0447491 0.048794 
0.374 0.152941 0.00224574 0.055103 0.0594885 
0.375 0.149902 0.00285713 0.0668394 0.0715388 
0.376 0.146725 0.00352956 0.0798984 0.0848843 
0.377 0.143423 0.0042588 0.0942167 0.0994616 
0.378 0.140008 0.00504056 0.109729 0.115205 
0.379 0.136493 0.00587047 0.126367 0.132046 
0.38 0.132889 0.00674416 0.14406 0.149915 
0.381 0.129211 0.00765724 0.162737 0.16874 
0.382 0.125469 0.00860531 0.182326 0.188449 
0.383 0.121676 0.00958402 0.202751 0.208967 
0.384 0.117845 0.010589 0.223938 0.230221 
0.385 0.113986 0.011616 0.245812 0.252134 
0.386 0.110112 0.0126609 0.268296 0.274633 
0.387 0.106234 0.0137194 0.291316 0.297642 
0.388 0.102363 0.0147875 0.314796 0.321086 
0.389 0.0985089 0.0158614 0.33866 0.344892 
0.39 0.094683 0.016937 0.362835 0.368985 
0.391 0.0908949 0.0180108 0.387248 0.393294 
0.392 0.0871541 0.0190792 0.411826 0.417747 
0.393 0.0834699 0.0201387 0.436499 0.442275 
0.394 0.0798511 0.021186 0.461197 0.466808 
0.395 0.0763058 0.0222178 0.485853 0.491281 
0.396 0.0728421 0.0232314 0.5104 0.515628 
0.397 0.0694674 0.0242236 0.534775 0.539787 
